_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID_x,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,userID_y
5e26541ef9af8b67acde4c7b,0039,"Sun, 05 Jan 2020 02:20:55 GMT","Sun, 05 Jan 2020 04:51:46 GMT","Sun, 05 Jan 2020 04:22:40 GMT",9.222,2_39_129_17_2020-01-05 02:20:54.531254,0002,CA-307,2-39-129-17,America/Los_Angeles,000001099,,,,,,,,
5e26541ef9af8b67acde4c7c,0039,"Sun, 05 Jan 2020 02:30:56 GMT","Sun, 05 Jan 2020 04:04:28 GMT","Sun, 05 Jan 2020 04:04:19 GMT",5.423,2_39_89_25_2020-01-05 02:30:56.509870,0002,CA-315,2-39-89-25,America/Los_Angeles,000001091,450.0,9.0,20.0,61.0,"Sat, 04 Jan 2020 20:17:05 GMT",True,"Sat, 04 Jan 2020 21:14:10 GMT",1920.0
5e27a59cf9af8b6b6627addc,0039,"Sun, 05 Jan 2020 17:22:55 GMT","Sun, 05 Jan 2020 19:08:24 GMT","Sun, 05 Jan 2020 18:56:41 GMT",4.689,2_39_89_25_2020-01-05 17:22:54.865827,0002,CA-315,2-39-89-25,America/Los_Angeles,000000743,450.0,9.0,20.0,61.0,"Sat, 04 Jan 2020 20:17:15 GMT",True,"Sat, 04 Jan 2020 21:14:10 GMT",1920.0
5e27a59cf9af8b6b6627addd,0039,"Sun, 05 Jan 2020 19:52:59 GMT","Sun, 05 Jan 2020 22:11:46 GMT","Sun, 05 Jan 2020 20:30:24 GMT",1.441,2_39_79_380_2020-01-05 19:52:58.995281,0002,CA-489,2-39-79-380,America/Los_Angeles,000003389,,,,,,,,
5e27a59cf9af8b6b6627adde,0039,"Sun, 05 Jan 2020 20:31:11 GMT","Mon, 06 Jan 2020 01:33:54 GMT","Mon, 06 Jan 2020 00:14:21 GMT",12.918,2_39_139_28_2020-01-05 20:31:11.005412,0002,CA-303,2-39-139-28,America/Los_Angeles,000000838,,,,,,,,
5e27a59cf9af8b6b6627addf,0039,"Sun, 05 Jan 2020 20:31:59 GMT","Mon, 06 Jan 2020 01:33:31 GMT","Mon, 06 Jan 2020 01:33:46 GMT",0.994,2_39_131_30_2020-01-05 20:31:58.947706,0002,CA-305,2-39-131-30,America/Los_Angeles,,,,,,,,,
5e27a59cf9af8b6b6627ade0,0039,"Sun, 05 Jan 2020 23:06:45 GMT","Mon, 06 Jan 2020 00:09:17 GMT","Sun, 05 Jan 2020 23:50:21 GMT",2.077,2_39_127_19_2020-01-05 23:06:45.211244,0002,CA-309,2-39-127-19,America/Los_Angeles,000001920,,,,,,,,
5e27a59cf9af8b6b6627ade1,0039,"Sun, 05 Jan 2020 23:27:46 GMT","Mon, 06 Jan 2020 00:33:19 GMT","Sun, 05 Jan 2020 23:58:26 GMT",0.85,2_39_79_379_2020-01-05 23:27:45.925246,0002,CA-327,2-39-79-379,America/Los_Angeles,,400.0,24.0,60.0,125.0,"Sun, 05 Jan 2020 02:21:33 GMT",True,"Sun, 05 Jan 2020 04:25:55 GMT",1099.0
5e28f72af9af8b70ebc91c7e,0039,"Mon, 06 Jan 2020 15:54:03 GMT","Tue, 07 Jan 2020 01:08:11 GMT","Mon, 06 Jan 2020 20:45:22 GMT",24.261,2_39_78_366_2020-01-06 15:54:03.422821,0002,CA-323,2-39-78-366,America/Los_Angeles,000003853,300.0,9.0,30.0,90.0,"Sun, 05 Jan 2020 02:31:16 GMT",True,"Sun, 05 Jan 2020 04:00:56 GMT",1091.0
5e28f72af9af8b70ebc91c7f,0039,"Mon, 06 Jan 2020 15:58:50 GMT","Mon, 06 Jan 2020 16:32:28 GMT","Mon, 06 Jan 2020 16:29:06 GMT",0.831,2_39_79_380_2020-01-06 15:58:49.622769,0002,CA-489,2-39-79-380,America/Los_Angeles,,400.0,8.0,20.0,79.0,"Sun, 05 Jan 2020 17:23:02 GMT",True,"Sun, 05 Jan 2020 18:41:55 GMT",743.0
5e28f72af9af8b70ebc91c80,0039,"Mon, 06 Jan 2020 16:07:15 GMT","Tue, 07 Jan 2020 03:16:11 GMT","Tue, 07 Jan 2020 03:15:59 GMT",16.006,2_39_79_379_2020-01-06 16:07:15.399027,0002,CA-327,2-39-79-379,America/Los_Angeles,000000676,400.0,4.0,10.0,190.0,"Sun, 05 Jan 2020 19:54:34 GMT",True,"Sun, 05 Jan 2020 23:02:59 GMT",3389.0
5e28f72af9af8b70ebc91c81,0039,"Mon, 06 Jan 2020 16:26:31 GMT","Tue, 07 Jan 2020 01:18:35 GMT","Mon, 06 Jan 2020 20:48:30 GMT",0.964,2_39_139_28_2020-01-06 16:26:31.205980,0002,CA-303,2-39-139-28,America/Los_Angeles,,600.0,36.0,60.0,287.0,"Sun, 05 Jan 2020 20:31:45 GMT",True,"Mon, 06 Jan 2020 01:18:11 GMT",838.0
5e28f72af9af8b70ebc91c82,0039,"Mon, 06 Jan 2020 16:27:34 GMT","Mon, 06 Jan 2020 21:59:10 GMT","Mon, 06 Jan 2020 16:48:34 GMT",1.296,2_39_79_377_2020-01-06 16:27:33.876128,0002,CA-325,2-39-79-377,America/Los_Angeles,000000751,600.0,36.0,60.0,287.0,"Sun, 05 Jan 2020 20:31:53 GMT",True,"Mon, 06 Jan 2020 01:18:11 GMT",838.0
5e28f72af9af8b70ebc91c83,0039,"Mon, 06 Jan 2020 16:38:10 GMT","Tue, 07 Jan 2020 00:09:43 GMT","Mon, 06 Jan 2020 21:11:27 GMT",15.822,2_39_131_30_2020-01-06 16:38:10.136068,0002,CA-305,2-39-131-30,America/Los_Angeles,000000712,,,,,,,,
5e28f72af9af8b70ebc91c84,0039,"Mon, 06 Jan 2020 16:38:56 GMT","Mon, 06 Jan 2020 23:08:17 GMT","Mon, 06 Jan 2020 20:46:16 GMT",0.943,2_39_129_17_2020-01-06 16:38:56.073904,0002,CA-307,2-39-129-17,America/Los_Angeles,,450.0,9.0,20.0,61.0,"Sun, 05 Jan 2020 23:07:12 GMT",True,"Mon, 06 Jan 2020 00:07:45 GMT",1920.0
5e28f72af9af8b70ebc91c85,0039,"Mon, 06 Jan 2020 16:41:08 GMT","Tue, 07 Jan 2020 01:43:10 GMT","Mon, 06 Jan 2020 19:55:16 GMT",21.338,2_39_79_382_2020-01-06 16:41:07.846325,0002,CA-491,2-39-79-382,America/Los_Angeles,000001104,450.0,9.0,20.0,61.0,"Sun, 05 Jan 2020 23:07:33 GMT",True,"Mon, 06 Jan 2020 00:07:45 GMT",1920.0
5e28f72af9af8b70ebc91c86,0039,"Mon, 06 Jan 2020 16:51:09 GMT","Mon, 06 Jan 2020 20:27:02 GMT","Mon, 06 Jan 2020 17:40:40 GMT",2.213,2_39_138_29_2020-01-06 16:51:08.856990,0002,CA-304,2-39-138-29,America/Los_Angeles,000001366,,,,,,,,
5e28f72af9af8b70ebc91c87,0039,"Mon, 06 Jan 2020 17:08:17 GMT","Tue, 07 Jan 2020 01:28:22 GMT","Mon, 06 Jan 2020 18:19:03 GMT",3.9,2_39_127_19_2020-01-06 17:08:17.392912,0002,CA-309,2-39-127-19,America/Los_Angeles,000000567,360.0,28.8,80.0,490.0,"Mon, 06 Jan 2020 15:54:11 GMT",True,"Tue, 07 Jan 2020 00:04:03 GMT",3853.0
5e28f72af9af8b70ebc91c88,0039,"Mon, 06 Jan 2020 17:19:31 GMT","Tue, 07 Jan 2020 01:59:00 GMT","Mon, 06 Jan 2020 18:39:39 GMT",6.01,2_39_78_365_2020-01-06 17:19:30.632305,0002,CA-321,2-39-78-365,America/Los_Angeles,000000714,,,,,,,,
5e28f72af9af8b70ebc91c89,0039,"Mon, 06 Jan 2020 17:27:09 GMT","Tue, 07 Jan 2020 01:38:47 GMT","Mon, 06 Jan 2020 23:07:07 GMT",30.26,2_39_78_363_2020-01-06 17:27:08.774394,0002,CA-320,2-39-78-363,America/Los_Angeles,000001137,400.0,24.0,60.0,629.0,"Mon, 06 Jan 2020 16:07:19 GMT",True,"Tue, 07 Jan 2020 02:36:15 GMT",676.0
